U
2450,2225,2054,2033,2465,2427,2219,2213,1940,1679,1441,1467,1409,1725,2209,2521,2709,2855,2609,2464,1346
2171,2060,1685,2096,1858,2087,1843,1790,1528,1376,947,911,1054,1427,1859,2277,2150,2738,2389,2287,1387
1994,1750,1722,1953,1552,1694,1452,1263,1052,792,337,382,772,1052,1653,2092,1948,2445,2162,2104,1189
1699,1375,1711,1281,1140,1124,884,622,361,78,-354,-115,472,702,1473,1834,1977,2210,1876,1913,1262
1476,926,1364,752,550,431,287,78,-295,-559,-956,-738,39,460,1216,1540,1975,1934,1605,1418,1530
1392,1163,848,600,173,-127,-315,-463,-806,-1009,-1627,-1146,-399,262,810,1593,1626,1593,1276,849,1385
1404,739,343,210,-12,-545,-697,-957,-1110,-1123,-1501,-1520,-792,75,818,1123,1368,1244,781,984,1116
1133,378,3,89,-428,-811,-1007,-1073,-1302,-1300,-701,-1555,-1057,-130,470,547,1008,849,471,936,953
730,137,-260,-100,-760,-954,-1246,-1256,-1488,-1338,-115,-1277,-1242,-352,-321,50,513,478,402,573,936
-180,-216,-696,-571,-683,-1129,-1476,-1247,-1408,-1350,118,-1025,-1736,-746,-997,-247,-95,63,627,246,986
-926,-487,-1129,-764,-863,-1304,-1178,-1348,-1424,-1306,-30,-704,-1668,-1223,-1569,-729,-497,-32,861,545,892
-1501,-1250,-1132,-1124,-775,-1282,-1127,-1537,-1564,-1238,-264,-472,-1422,-1443,-1928,-1144,-758,94,834,809,329
V
-1738,-1240,-1050,-1047,-686,-320,518,1054,-1651,-3890,-2763,-638,1035,1446,1903,2425,3001,-2747,-3730,-2997,-2634
-1999,-1459,-1593,-922,-683,154,826,806,-2091,-3843,-2356,-630,890,1799,2168,2636,2948,-1803,-4185,-3382,-2879
-2026,-1771,-1667,-952,-144,461,1110,282,-2536,-3597,-2193,-499,989,2024,2261,2777,2568,-697,-4280,-3458,-2942
-1689,-2089,-1258,-798,350,737,1281,-520,-2859,-3248,-2037,-526,1206,2069,2280,2776,1952,114,-3986,-3271,-2678
-1840,-1844,-685,-118,621,945,784,-1510,-2936,-2856,-1687,-475,1085,2302,2337,2602,1620,250,-3737,-3345,-2691
-2097,-1043,-320,244,661,1006,-159,-2203,-2882,-2638,-1435,-367,1089,2327,2450,2327,1410,246,-2572,-3277,-2693
-1922,-433,18,266,652,643,-1168,-2573,-2728,-2400,-1325,-204,1203,2303,2534,2107,1204,288,-1465,-3138,-2440
-1279,71,278,91,354,-94,-2001,-2614,-2407,-2121,-1163,20,1287,2309,2554,2061,1292,514,-592,-2899,-2108
-278,345,176,70,-481,-1274,-2197,-2389,-2103,-1777,-774,177,1320,2244,2491,2157,1501,1001,-95,-2464,-1894
436,541,-292,-759,-1325,-1831,-2194,-1793,-1981,-1484,-463,332,1312,2037,2458,2166,1576,1202,26,-1820,-1588
364,-357,-1105,-1267,-1787,-2061,-1919,-1429,-1733,-1127,-122,567,1356,2012,2397,2215,1671,1413,-72,-1207,-1206
-371,-1804,-1956,-1461,-1883,-2008,-1484,-1260,-1473,-772,226,862,1560,2021,2332,2318,1782,1665,-264,-592,-632
-1358,-2055,-1676,-1622,-1962,-1656,-1090,-1150,-1269,-352,498,1316,1944,1967,2279,2367,2041,1964,-298,118,37
-1359,-1923,-1624,-1807,-1755,-1211,-979,-992,-923,-47,726,1491,1956,2046,2302,2379,2326,1979,96,632,603
-1247,-1574,-1556,-1734,-1352,-903,-947,-788,-562,151,888,1615,1922,2113,2314,2462,2547,1752,822,1018,1238
-1236,-1257,-1503,-1402,-860,-850,-890,-527,-279,358,967,1695,1913,2091,2339,2586,2617,1433,1649,1445,1858
-1015,-1161,-1400,-939,-749,-874,-703,-324,42,677,1239,1643,1984,2163,2376,2762,2494,1425,1933,1938,2329
-964,-1289,-1046,-1010,-765,-598,-409,-20,407,995,1454,1696,1938,2248,2370,2820,2344,1719,2147,2375,1964
-925,-1441,-830,-865,-680,-359,-29,297,757,1148,1392,1866,2102,2263,2415,2879,2134,2129,2473,2724,1763
-812,-1172,-578,-675,-367,-233,394,627,948,1221,1337,1787,2106,2275,2419,2660,2002,2465,2806,2777,1928
-702,-612,-335,-456,-264,-214,459,1016,1109,1306,1671,1369,1957,2301,2302,2158,2398,2735,3195,2858,2093
-670,-199,-420,-228,-115,-103,505,1251,1323,1681,2363,1546,1837,2109,2113,2404,2702,2922,3253,2907,2261
-630,-117,-425,-180,323,30,745,1181,1611,2306,3225,1467,1605,1841,2482,2877,3031,3116,2937,2746,2199
-711,-354,-102,123,743,350,1125,1327,1889,2781,4334,1117,1403,1620,2642,3102,3289,3293,2479,2400,1969
-976,-381,71,510,674,755,1261,1469,2051,3200,4244,1389,1767,1886,2523,2302,3300,3033,2683,2211,2018
-864,-151,258,741,801,1162,1163,1881,2380,3326,4205,1409,1631,2047,2597,2403,2788,2909,2884,2629,1242
-682,-54,320,748,632,1342,1413,2188,2717,3527,3881,1348,1449,1608,2488,2609,2476,2965,3199,2827,634
